product_id,product_name,brand_id,supplier_id,price,cost_price
1,Samsung Animi Max,1,90,125812.07,88068.45
2,Samsung Recusandae Lite,1,,106495.49,74546.84
3,Samsung Placeat Plus,1,23,149041.53,104329.07
4,Samsung Tempora X,1,63,61918.78,43343.15
5,Samsung Ratione X,1,40,34542.72,24179.9
6,Samsung Nemo X,1,23,70165.2,49115.64
7,Samsung Suscipit Lite,1,57,67294.91,47106.44
8,Samsung Cum X,1,14,71926.86,50348.8
9,Samsung Quos,1,31,96006.93,67204.85
10,Samsung Quasi Max,1,12,44650.22,31255.15
11,Samsung Perferendis Lite,1,79,68575.02,48002.51
12,Samsung Error Max,1,31,56584.21,39608.95
13,Samsung Dolores Plus,1,21,38582.71,27007.9
14,Samsung Voluptates,1,46,13778.69,9645.08
15,Samsung Beatae X,1,36,67367.46,47157.22
16,Samsung Nemo Max,1,21,115362.1,80753.47
17,Samsung Temporibus Plus,1,12,146069.95,102248.96
18,Samsung Nemo Pro,1,51,69116.39,48381.47
19,Samsung Corrupti Lite,1,81,16078.17,11254.72
20,Samsung Doloremque Max,1,16,27280.6,19096.42
21,Samsung Aspernatur,1,90,5067.93,3547.55
22,Samsung Officia,1,61,119043.14,83330.2
23,Samsung Nihil Plus,1,74,101343.69,70940.58
24,Samsung Facilis Pro,1,81,75355.73,52749.01
25,Samsung Tempora Pro,1,74,80294.06,56205.84
26,Samsung Laboriosam X,1,7,29141.32,20398.92
27,Samsung Laudantium Lite,1,9,24583.74,17208.62
28,Samsung Reiciendis Max,1,66,90579.93,63405.95
29,Samsung Laudantium Max,1,20,37937.45,26556.21
30,Samsung Placeat Lite,1,25,108461.93,75923.35
31,Samsung Odio X,1,32,120042.36,84029.65
32,Samsung Consequatur Plus,1,35,64960.34,45472.24
33,Samsung Iste X,1,17,121458.63,85021.04
34,Samsung Voluptate Max,1,42,73753.18,51627.23
35,Samsung Inventore Plus,1,73,76308.35,53415.84
36,Samsung Adipisci Max,1,66,40531.43,28372.0
37,Samsung Assumenda,1,31,137935.25,96554.67
38,Samsung Veniam,1,9,131840.87,92288.61
39,Samsung Aliquam Max,1,40,50400.29,35280.2
40,Samsung Explicabo Max,1,12,74805.84,52364.09
41,Samsung Natus X,1,50,144048.41,100833.89
42,Samsung Quisquam Lite,1,27,95909.69,67136.78
43,Samsung Nemo Pro,1,44,897.57,628.3
44,Samsung Doloribus Max,1,62,24525.18,17167.63
45,Samsung Praesentium Max,1,28,107847.32,75493.12
46,Samsung Quis Pro,1,9,53492.7,37444.89
