return_id,order_id,prod_id,return_date,reason,refund_amount
34,34,575,2025-07-20,Late Delivery,102999.19
40,40,421,2024-11-17,Quality Issue,82014.25
47,47,423,2024-11-21,Damaged,94464.58
88,88,255,2025-08-11,Quality Issue,409158.32
117,117,515,2024-12-27,Late Delivery,44890.63
178,178,280,2024-11-26,Damaged,131629.11
179,179,1108,2025-01-05,Damaged,278462.92
233,233,1099,2024-02-05,Wrong Item,150260.63
300,300,987,2025-05-31,Late Delivery,50791.22
302,302,1113,2025-07-16,Late Delivery,137608.01
305,305,450,2025-04-15,Quality Issue,564815.65
308,308,281,2024-11-01,Late Delivery,4265.11
333,333,654,2024-11-02,Wrong Item,41678.47
336,336,1207,2024-12-03,Damaged,401530.38
340,340,1133,2024-03-22,Late Delivery,61985.23
348,348,94,2025-02-24,Quality Issue,266876.47
391,391,203,2024-11-02,Quality Issue,84448.8
422,422,240,2025-06-06,Quality Issue,208813.59
424,424,862,2025-06-27,Late Delivery,109826.56
462,462,449,2024-02-17,Damaged,244780.9
465,465,839,2024-09-12,Damaged,8549.27
540,540,102,2024-03-02,Damaged,23981.78
573,573,862,2024-12-18,Wrong Item,605040.21
616,616,186,2024-06-08,Damaged,253902.78
655,655,223,2025-06-29,Quality Issue,210119.64
687,687,1017,2025-05-22,Damaged,483540.35
747,747,314,2025-04-27,Wrong Item,161766.07
772,772,941,2024-04-09,Damaged,206128.99
784,784,670,2024-02-12,Wrong Item,77026.97
854,854,855,2025-07-12,Quality Issue,240434.84
904,904,275,2024-02-18,Damaged,194068.79
906,906,1097,2025-05-07,Damaged,80307.36
920,920,602,2025-08-08,Damaged,347830.16
1005,1005,957,2024-12-13,Wrong Item,461142.7
1029,1029,299,2024-10-11,Damaged,40996.77
1068,1068,308,2024-11-12,Damaged,121404.84
1098,1098,488,2025-02-15,Late Delivery,107033.49
1118,1118,1212,2024-09-15,Damaged,75607.79
1127,1127,647,2024-10-19,Quality Issue,439843.3
1159,1159,437,2024-08-06,Quality Issue,274593.78
1215,1215,68,2024-02-26,Damaged,318398.94
1237,1237,38,2025-03-05,Wrong Item,14508.73
1247,1247,729,2024-06-21,Damaged,577864.46
1296,1296,200,2025-08-14,Quality Issue,1013.85
1362,1362,346,2024-02-13,Quality Issue,128487.37
1364,1364,1072,2024-01-28,Damaged,171338.05
1395,1395,710,2024-07-26,Quality Issue,54556.33
1402,1402,347,2025-07-04,Late Delivery,118075.51
1409,1409,876,2025-03-13,Wrong Item,104034.53
1420,1420,583,2024-02-27,Wrong Item,106440.43
1496,1496,487,2024-05-19,Damaged,317960.1
1501,1501,24,2024-05-10,Wrong Item,671189.54
1522,1522,1097,2024-08-03,Wrong Item,272820.97
1572,1572,382,2024-08-03,Late Delivery,209348.71
1573,1573,1201,2024-09-03,Damaged,64537.02
1588,1588,827,2024-02-16,Damaged,594071.04
1599,1599,1025,2025-05-08,Late Delivery,235262.65
1605,1605,185,2025-04-08,Late Delivery,438566.53
1614,1614,493,2025-03-16,Wrong Item,235862.82
1637,1637,832,2024-09-22,Wrong Item,123022.04
1639,1639,773,2024-06-10,Late Delivery,165192.91
1797,1797,39,2025-04-22,Damaged,43817.37
1805,1805,786,2025-04-25,Quality Issue,561459.22
1842,1842,1048,2024-09-30,Wrong Item,136295.51
1857,1857,172,2025-05-09,Late Delivery,519842.33
1886,1886,121,2024-06-17,Quality Issue,154396.92
1933,1933,279,2025-01-19,Late Delivery,103655.57
1943,1943,451,2024-10-28,Late Delivery,268348.73
2026,2026,932,2025-09-02,Wrong Item,176764.38
2036,2036,475,2025-02-23,Late Delivery,119906.31
2046,2046,159,2024-12-29,Quality Issue,185036.46
2050,2050,401,2025-05-30,Damaged,175294.05
2075,2075,831,2025-04-12,Quality Issue,356902.63
2079,2079,1055,2025-05-03,Wrong Item,437213.62
2096,2096,148,2025-10-03,Late Delivery,12119.83
2100,2100,555,2024-06-24,Quality Issue,235312.27
2179,2179,647,2024-04-03,Quality Issue,288835.16
2210,2210,1148,2025-01-31,Wrong Item,25196.22
2308,2308,68,2024-05-11,Quality Issue,156909.89
2350,2350,507,2024-03-26,Quality Issue,93288.8
2363,2363,750,2025-05-20,Quality Issue,90177.44
2396,2396,685,2024-03-24,Damaged,219143.73
2467,2467,183,2024-02-04,Quality Issue,64212.35
2497,2497,497,2024-08-27,Damaged,155852.99
2500,2500,695,2024-06-05,Late Delivery,211107.56
2525,2525,1107,2025-01-03,Damaged,44577.41
2526,2526,72,2025-07-29,Quality Issue,191618.78
2534,2534,383,2025-06-19,Damaged,132794.76
2582,2582,116,2025-06-09,Quality Issue,489583.23
2602,2602,827,2024-02-27,Late Delivery,147217.19
2653,2653,1117,2024-10-08,Late Delivery,149473.06
2682,2682,591,2024-04-20,Damaged,112485.57
2726,2726,108,2024-03-14,Damaged,22535.13
2767,2767,448,2024-06-02,Quality Issue,22860.82
2775,2775,620,2024-05-07,Wrong Item,158467.71
2800,2800,95,2024-10-17,Wrong Item,113370.48
2825,2825,234,2025-03-31,Damaged,91618.07
2878,2878,805,2024-07-10,Late Delivery,11788.12
2888,2888,935,2025-09-28,Damaged,216863.83
2901,2901,525,2024-05-26,Damaged,12649.28
2939,2939,475,2025-07-09,Quality Issue,160571.22
2945,2945,700,2024-11-22,Late Delivery,55815.91
